ORF	IniProb	rand_mRNA
YDL227C	0.00109021734228457	11
YDL230W	0.000914626893599089	5
YDL231C	4.28777874891085e-05	4
YDL232W	0.00234249492683984	13
YDL233W	0.000932943745776259	2
YDL234C	0.000903267032254573	1
YDL235C	0.00154577331575615	9
YDL236W	0.00201485195585083	10
YDL237W	0.000830627402462512	8
YDL238C	0.00029916556086804	4
YDL240W	0.00044943641721218	3
YDL241W	0.00163049986433213	6
YDR001C	0.000962427832606609	6
YDR002W	0.00362254115605727	42
YDR003W	0.00113569187594167	4
YDR004W	0.000372170607147878	2
YDR005C	0.000761624811110219	2
YDR006C	0.000606310325159382	5
YDR007W	0.00084016597178513	7
YDR009W	0.000892705191119036	1
YDR011W	0.000612414931128007	18
YDR013W	0.000870898133685698	1
YDR014W	0.000500116903169721	2
YDR016C	0.0011108510002965	5
YDR017C	0.000593634879963733	4
YDR019C	0.00117400763971933	13
YDR020C	0.00115619731673439	2
YDR021W	0.001347419536477	1
YDR022C	0.00069493531595697	3
YDR023W	0.00243596282676021	46
YDR026C	0.000431594415848031	2
YDR027C	0.000521151170189231	5
YDR028C	0.000672917677758345	4
YDR030C	0.000654180672179983	1
YDR031W	0.00202216482294111	1
YDR032C	0.00400328874815822	25
YDR033W	0.0022079179848477	75
YDR034C	0.000519054561486639	2
YDR035W	0.00181718261295639	12
YDR036C	0.00116580359157537	3
YDR037W	0.00242805730401644	48
YDR041W	0.00118187525098771	6
YDR043C	0.00148812452587587	2
YDR044W	0.00241771660355699	6
YDR045C	0.00171958917812395	4
YDR046C	0.000925584341579806	7
YDR047W	0.00112674396875002	9
YDR049W	0.00102100423247527	2
YDR050C	0.00439554849396827	442
YDR051C	0.0015428232942129	5
YDR052C	0.000682996001139894	2
YDR054C	0.00153127914757306	13
YDR055W	0.00235504261711891	5
YDR056C	0.00176278847809592	7
YDR057W	0.00119192604342618	2
YDR058C	0.000748968901624145	4
YDR059C	0.00146661124470514	4
YDR060W	0.000976709357829226	10
YDR061W	0.000632229237340194	3
YDR062W	0.000901894641236152	15
YDR063W	0.00175622629827814	7
YDR064W	0.00458545049561108	321
YDR065W	0.000483469665993811	1
YDR066C	0.00108994792072145	2
YDR067C	0.000691468803434346	2
YDR068W	0.00161942011481828	4
YDR069C	0.000504193556771349	1
YDR071C	0.00220780834952416	15
YDR072C	0.000797247553206948	4
YDR073W	0.000336817440788685	4
YDR074W	0.00134150048295506	7
YDR075W	0.00124935904995283	1
YDR076W	0.000418813068148451	1
YDR078C	0.000333957348084419	3
YDR079CA	0.00226132080383367	1
YDR079W	0.00189047182771465	4
YDR080W	0.000863691136894447	3
YDR081C	0.000723502073994653	3
YDR082W	0.000131973864197409	1
YDR084C	0.00137828271696842	7
YDR085C	0.000460278693978391	1
YDR086C	0.00282880068846784	53
YDR087C	0.00169119075347591	4
YDR088C	0.00138899498215504	4
YDR089W	0.000761161203583333	6
YDR090C	0.000969540504841848	1
YDR091C	0.00164578237284851	17
YDR092W	0.00231025763199458	8
YDR093W	0.000447550557489636	5
YDR096W	0.000761251820783685	3
YDR097C	0.000934953204121974	4
YDR098C	0.00223594948679659	13
YDR100W	0.00172364087466664	7
YDR101C	0.00128020552622327	6
YDR103W	0.000592483074514906	4
YDR104C	0.000354854794407589	1
YDR105C	0.000695031400857251	1
YDR107C	0.000743641068058138	5
YDR108W	0.000561796426912693	3
YDR109C	0.000528164150956857	6
YDR110W	0.000759841655932058	4
YDR111C	0.000667668827956106	6
YDR113C	0.0018417580480255	3
YDR115W	0.00150665733930011	8
YDR116C	0.00146302090152466	4
YDR117C	0.00124635259580287	6
YDR118W	0.000586768176427693	1
YDR119W	0.000762134107051819	10
YDR120C	0.00102728982900588	4
YDR121W	0.00145435014024727	4
